App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Passwords and Keys
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: GNOME System Monitor
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Characters
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Calculator
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Contacts
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Clocks
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Software Updater
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Brave Web Browser
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: LibreOffice
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Printers
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: LibreOffice Calc
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Text Editor
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Zorin Connect
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Proton VPN
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Help
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: NVIDIA X Server Settings
App name supplied: {'name': 'Passwords and Keys', 'icon': 'org.gnome.seahorse.Application', 'exec': 'seahorse'}, App name found: Disks
